127.0.0.1, 2018-04-04 09:41:49, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2018-04-04 09:41:51, GET, /welcome/default/index, HTTP/1.1, 200, 2.782000
127.0.0.1, 2018-04-04 09:41:51, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-04 09:41:51, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-04-04 09:41:51, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-04 09:41:51, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-04 09:41:51, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-04 09:41:51, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-04 09:41:51, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-04 09:41:51, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-04-04 09:41:51, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-04 09:41:51, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-04 09:41:53, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-04 09:41:53, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-04 09:41:53, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-04 09:42:02, GET, /admin/default/index, HTTP/1.1, 200, 1.145000
127.0.0.1, 2018-04-04 09:42:02, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.060000
127.0.0.1, 2018-04-04 09:42:02, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.062000
127.0.0.1, 2018-04-04 09:42:02, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.067000
127.0.0.1, 2018-04-04 09:42:02, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.074000
127.0.0.1, 2018-04-04 09:42:02, GET, /admin/static/_2.16.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.023000
127.0.0.1, 2018-04-04 09:42:02, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.115000
127.0.0.1, 2018-04-04 09:42:02, GET, /admin/static/_2.16.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.050000
127.0.0.1, 2018-04-04 09:42:02, GET, /admin/static/_2.16.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.051000
127.0.0.1, 2018-04-04 09:42:02, GET, /admin/static/_2.16.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.009000
